GHS	CARGO 	SETOR	DESCRIÇÃO
01SP29	ANALISTA JURIDICO JR	ANALISTAS ADMINISTRATIVO	Executa atividades operacionais do contencioso trabalhista sob orientação, com foco em cadastro e atualização de processos, organização de pautas, coleta e guarda de documentos, apoio à preparação de audiências e atuação como preposto em casos de baixa complexidade, além de suporte a pagamentos e encerramentos de pastas.
01SP29	ANALISTA JURIDICO PL	ANALISTAS ADMINISTRATIVO	Conduz rotinas de média complexidade do contencioso trabalhista, assegurando a completude e a qualidade de cadastros, documentação e prazos; atua como preposto, prepara testemunhas, realiza leitura crítica de cálculos e consolida informações para provisões; apoia o relacionamento e o monitoramento de SLA dos escritórios externos, além de atualizar relatórios e indicadores da carteira.
01SP29	ANALISTA JURIDICO SR	ANALISTAS ADMINISTRATIVO	Responsável pela gestão estratégica da carteira trabalhista: define estratégias de defesa e acordo por clusters, lidera a governança de escritórios terceirizados (contratação, fees, SLA e scorecards), gere orçamento e indicadores (taxa de êxito, ticket médio, aging, custos e perícias), conduz casos de alta complexidade e o ciclo completo de perícias, assegura conformidade (LGPD, anticorrupção, segurança da informação) e realiza mentoria de JR/PL, apoiando a liderança na identificação de riscos e na tomada de decisão estratégica.
01SP29	ANALISTA PLANEJ I	ANALISTAS ADMINISTRATIVO	Auxilia as atividades da área, analisa os processos e dados, gera relatórios e apresenta informações que suportem tomada estratégica de decisão
01SP29	ANALISTA PLANEJ II	ANALISTAS ADMINISTRATIVO	Atua nas atividades da área, analisa os processos e dados, gera relatórios e apresenta informações que suportem tomada estratégica de decisão
01SP29	ANALISTA PLANEJ III	ANALISTAS ADMINISTRATIVO	Atua nas atividades da área, analisa os processos e dados, gera relatórios e apresenta informações que suportem tomada estratégica de decisão
01SP29	ANALISTA REDES JR	ANALISTAS ADMINISTRATIVO	Gerencia e mantem equipamentos de rede e infraestrutura
01SP29	ANALISTA REDES PL	ANALISTAS ADMINISTRATIVO	Gerencia e mantem equipamentos de rede e infraestrutura
01SP29	ANALISTA REDES SR	ANALISTAS ADMINISTRATIVO	Gerencia e mantem equipamentos de rede e infraestrutura
01SP29	ANALISTA DE RELAÇÕES INSTITUCIONAIS JR	ANALISTAS ADMINISTRATIVO	Garante o cumprimento das políticas, regulamentos e normas da empresa
01SP29	ANALISTA DE RELAÇÕES INSTITUCIONAIS PL	ANALISTAS ADMINISTRATIVO	Garante o cumprimento das políticas, regulamentos e normas da empresa
01SP29	ANALISTA DE RELAÇÕES INSTITUCIONAIS SR	ANALISTAS ADMINISTRATIVO	Garante o cumprimento das políticas, regulamentos e normas da empresa
01SP29	ANALISTA DE CONTRATOS SR	ANALISTAS ADMINISTRATIVO	Recebe, analisa e controla a documentação para elaboração de contrato. Analisa, elabora e revisa contratos. Atua com discussão de cláusulas com jurídico, controle de prazos e assinaturas internas nos instrumentos jurídicos
01SP29	ANALISTA PD&C PL	ANALISTAS ADMINISTRATIVO	"Responsável por analisar, prever e garantir o alinhamento entre a demanda do mercado e a capacidade
Operacional da empresa, realizando o monitoramento continuo dos níveis de demanda, elabora projeções, identifica tendências e propõe soluções para otimizar a utilização de recursos. "
01SP29	ANALISTA PD&C SR	ANALISTAS ADMINISTRATIVO	Estrutura e analisa dados do processo de planejamento, gestiona os modelos de previsibilidade e emite relatórios e monitora indicadores de demanda e capacidade.
01SP29	ANALISTA SEGURANÇA DA INFORMAÇÃO JR	ANALISTAS ADMINISTRATIVO	Responsável por apoiar a implementação e a manutenção de políticas e práticas de segurança para garantir a proteção efetiva dos recursos de informação da empresa.
01SP29	ANALISTA TELECOM	ANALISTAS ADMINISTRATIVO	Testa e realiza manutenções preventivas ou corretivas de sistemas de telecomunicações
01SP29	ANALISTA DE DADOS JR	ANALISTAS ADMINISTRATIVO	Dar suporte às rotinas de dados sob orientação, realizando atividades de coleta, tratamento básico, manutenção de relatórios e painéis, garantindo a qualidade das informações para apoiar decisões operacionais e táticas
01SP29	ANALISTA DE DADOS PL	ANALISTAS ADMINISTRATIVO	Conduzir análises e soluções de dados de complexidade intermediária, estruturando modelos, fluxos de ETL e painéis gerenciais, com autonomia moderada, assegurando qualidade e segurança das informações para decisões táticas e algumas estratégias.
01SP29	ANALISTA DE DADOS SR	ANALISTAS ADMINISTRATIVO	Transformar dados em informações estratégicas por meio de análises, visualizações e relatórios, apoiando a tomada de decisão em diversas áreas da empresa.
